,doc_freq
"""adenosine-5-monophosphate""",1
"""cytidine-5-monophosphate""",1
"""dont.anyway""",1
"""guanosine-5-monophosphate""",1
"""inosine-5-monophosphate""",1
"""nt""",9
"""uridine-5-monophosphate""",1
a.r,2
abbreviated,1
abdominal,3
ability,5
able,8
abnormal,2
about.it,1
above.notes,1
absolute,6
absolutely,8
absorbed,4
absorption,4
absurdly,1
abundance,3
academy,1
accept,3
acceptable,5
acceptance,1
accepted,2
accepts,2
access,5
accommodate,1
accordance,3
according,6
accustom,1
accustomed,5
acerola,1
acesulfame,3
acetate,1
ache,3
aches,4
achieve,4
acid,4
acid.fos,1
acidic.please,1
acids,5
acknowledges,1
acquisition,1
across,6
act,6
actively,2
activity,5
acts,5
actual,7
actually,7
adapted,1
adapting,2
add,7
added,7
added.cholesterol,1
addicted,7
addiction,3
addictive,6
addictiveness,1
adding,7
addition,7
addition.dha,1
additional,4
additionally,5
additive,5
additives,6
address,4
addressed,2
addressing,2
adds,7
adenosine,1
adequate,6
adhd,1
adhered,2
adjust,3
adjustment,1
adjustments,1
administering,1
admit,5
adult,5
adults,5
advance,2
advanced,3
advances,1
adventurous,2
adverse,3
advertised,6
advice,4
advised,4
advocating,1
affect,5
affected,2
affects,4
afford,5
affordable,6
aforementioned,3
afraid,6
afterwards,5
afterwards.no,1
afterwards.she,1
againi,1
age,6
aged,3
ages,5
agitated,1
ago,7
agonized,1
agree,7
agreed,3
agrees,3
ahead,5
ai,2
aid,4
aiding,2
aim,2
aimed,1
air,7
airplane,1
airtight,5
airy,2
aisle,3
aka,3
akc,1
akin,3
alarmed,1
alarming,1
alarms,1
albeit,2
alcohol,6
ale,2
alike,3
alimentum,2
alive.i,1
all.i,3
allergenic,1
allergic,7
allergies,7
allergies.the,1
allergy,4
allergy.i,1
allergywe,1
alleviate,4
allow,5
allowance,3
allowance.with,1
allowed,6
allowing,6
allows,5
almond,7
almost,8
almost-expired,1
alone,6
along,6
alpina,1
already,7
also,7
also.far,1
alternating,2
alternative,7
alternatives,6
although,7
altogether,3
always,8
alzheimer,4
amazed,6
amazing,7
amazingly,5
amazon,8
amazon.this,1
america,5
american,5
among,7
amount,7
amounts,6
anabolic,1
anaerobic,1
analysis,3
and/or,7
animal,6
animals,4
anitbiotics,1
annoyance.this,1
annoyed,3
annoying,3
another,7
answer,5
anthing,1
anti-formula,1
anti-inflammatory,3
antibiotics,2
antibodies,2
anticipated,4
antioxidants,4
anxious,5
anybody,3
anymore,7
anyone,7
anything,8
anything.the,1
anytime,6
anyway,7
anywaynow,1
anywhere,7
anywhere.i,1
anywhere.the,1
apart,6
apparent,3
apparently,6
appeal,4
appealing,5
appeals,1
appear,7
appears,5
appetite,6
applicable,1
appointments,1
appreciate,7
appreciated,7
appropriate,6
appropriately,3
approval,2
approve,1
approved,5
approves,2
approximately,6
ar,1
ar.pros,1
ara,1
arachidonic,1
arching,1
area,6
arguably,1
argue,3
arm,4
arms.the,1
aroma,5
around,8
array,2
arrival,4
arrived,8
arrives,6
articial,1
article,4
artificial,8
as-is,2
ascorbate,1
ascorbic,2
ascorbyl,1
aside,5
ask,7
asked,6
asking,5
asks,2
asleep,2
aslo,1
aspect,7
aspects,4
asprey,1
assembling,1
assess,2
associated,4
assuming,4
assurance,2
at.i,2
atcc,1
ate,6
athletes,4
atrocious,1
attached,3
attachment,2
attempts,4
attention,5
attractive,3
attributed,2
author,2
autism,1
auto,3
autoimmune,2
autonomous,1
available,7
available.i,1
avent,1
average,7
avoid,7
avoidance,1
avoided,3
avoiding,5
awake,3
aware,6
away,7
away.our,1
awesome,7
awful,5
awful.it,1
awfully,4
awhile,4
awry,1
b,6
b/c,4
b00e9p0xf4and,1
babies,4
babies.the,1
babies/toddlers,1
baby,5
baby-breath,1
baby.i,1
baby/toddler,1
babysat,1
babysit,1
babysitter,1
babytalk,1
babythis,1
back,9
back-up,2
backup,3
bacteria,5
bad,9
bad-mixing,1
badly,4
bag,7
bag.also,1
bag.enfamil,1
bag.my,1
bags,7
balance,7
balanced,4
balances,4
bald,2
balked,1
ball,4
banana,6
bandwagon,1
bane,1
baout,1
barely,7
barring,1
bars,6
base,7
based,7
basic,5
basically,7
basis,5
batch,7
battle,3
be-all-end-all,1
bean-based.we,1
bears,4
beat,6
beats,6
beautifully,4
bebe,1
became,6
become,7
becomes,5
bed,4
before.nutrition,1
began,4
begin,4
beginning,4
beginnings,2
begins,2
begs,3
begun,3
behavior,2
behind,5
belch,1
belief,2
believe,7
bellies,2
belly,4
belong,3
ben,1
beneficial,5
beneficial.ara,1
beneficial.choline,1
benefit,7
benefits,6
besides,6
best,8
best.as,1
beta-carotene,3
better,9
better.so,1
better.the,2
beverage,4
beverages,3
beware,5
beyond,6
bi-products,1
biases,1
biblical,1
bicarbonate,2
bifidobacterium,1
big,8
bigger,7
biggest,6
bill,6
bin,5
binge,2
binkies,1
bio,2
biography,1
biotin,1
bipolar,1
birth,4
births.despite,1
bit,8
bitartrate,1
bite,7
bitter,7
blame,3
blameless,1
blanks,1
blas,1
blasted,1
blatant,1
bleeding,3
blend,5
blended,5
blender,4
blender.add,1
blending,3
blends,5
block,4
blocks,4
blood,7
bloodstream,3
bloodstream.dha,1
blown,5
blue,4
blueberry,5
bode,1
bodies,5
body,7
bodybuilding,1
boiled,4
bone,4
bone-strengthening,1
bones,3
bonus,7
boob,1
boobs,1
book,6
books,3
boost,6
boot,6
boring,4
born,2
both.i,1
bother,5
bothering,3
bothersome,3
bottle,6
bottle-fed,2
bottle.overall,1
bottle/sippy,1
bottled,4
bottles,6
bottles.other,1
bottlesi,1
bottom,7
bottom.we,1
bought,8
bout,2
bouts,1
bowel,4
bowels,3
bowl,7
bowl.we,1
box,9
boxed,4
boxes,8
boy,5
boy/girl,1
bpa,3
brain,5
brain-nourishing,1
brand,7
brand.easy,1
brand.good,1
brand.therefore,1
branded,3
branding,1
brands,7
brands.the,2
brass,1
break,6
breakfast,6
breaking,5
breaks,4
breast,4
breast-fed,1
breast-feeding,2
breast-feeding.i,1
breastfed,2
breastfed/cow,1
breastfeed,2
breastfeeding,4
breastfeeds,1
breastmilk,2
breastmilk.as,1
breath,4
brick,4
bridge,2
bridging,1
bright,6
brighter,2
bring,6
broccoli,3
broke,4
broken,6
brother,3
brought,5
brown,7
brownies,5
bs,1
bst,1
bubble,4
bubbles,3
bubbly,2
buck.in,1
buckets,2
bucks,7
budding,1
budget,5
buds,7
bug,3
bugs,4
build,4
builder,4
building,4
built,4
bulk,7
bullet,4
bunch,7
buried,2
burp,1
burps,3
business,7
business.since,1
bust,2
busy,6
butter,7
butternut,3
butting,1
buy,8
buying,7
buzzed,2
c,5
c-section,1
ca,8
cabinet,4
caio,1
cake,6
cal,5
calcium,5
call,8
called,8
calm,5
calming,4
calorie,7
calories,7
came,7
can.cons,1
canada,3
canceled,1
candy,7
canister,4
canisters,3
canned,5
canola,4
cans,5
cant,6
cap,5
capacity,3
capri-sun,1
caps,5
car,7
carb,5
carbohydrate,4
carbohydrates,5
carbonate,2
carbs,7
cardboard,6
care,8
careful,6
carefully,5
caretaker,1
carful,1
carnation,1
carnitine,2
carnitinenonfat,1
carriers,1
carries,5
carry,6
carton,2
case,8
case.it,1
casein,3
cases,4
cash,3
casued,1
catch,4
catch-up,1
catching,3
caught,4
cauliflower,2
cause,7
caused,5
causes,4
causing,5
caution,4
caveat,3
cbs,1
ceases,1
ceiling,2
cell,4
cents,6
cereal,6
certain,5
certainly,7
certified,7
cfh,5
chain,3
chair,1
chalky,5
challenge,4
challenging,2
chamomile,4
chance,7
chances,4
change,7
changed,7
changes,5
changes.i,1
changing,5
characterized,1
cheap,7
cheaper,8
cheaper.i,1
cheaper.the,1
check,8
checked,6
checking,5
checkup,1
cheerios,1
cheers,2
cheese,4
chemical,7
chemicals,7
chest,3
chew,6
chicken,6
child,6
childhood,4
